Year,Beijing_Pop,Tianjin_Pop,Hebei_Pop,Shanxi_Pop,InnerMongolia_Pop,North_Total_Pop,Liaoning_Pop,Jilin_Pop,Heilongjiang_Pop,Northeast_Total_Pop,Shanghai_Pop,Jiangsu_Pop,Zhejiang_Pop,Anhui_Pop,Fujian_Pop,Jiangxi_Pop,Shandong_Pop,East_Total_Pop,Henan_Pop,Hubei_Pop,Hunan_Pop,Guangdong_Pop,Guangxi_Pop,Hainan_Pop,SouthCentral_Total_Pop,Chongqing_Pop,Sichuan_Pop,Guizhou_Pop,Yunnan_Pop,Tibet_Pop,Southwest_Total_Pop,Shaanxi_Pop,Gansu_Pop,Qinghai_Pop,Ningxia_Pop,Xinjiang_Pop,Northwest_Total_Pop
  1949,0.00,0.00,3086.00,1280.86,608.10,4974.96,1831.00,0.00,0.00,1831.00,0.00,3512.00,0.00,0.00,0.00,1314.00,0.00,4826.00,4174.00,2580.94,2986.83,0.00,1845.00,0.00,11586.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,968.45,0.00,0.00,0.00,968.45
  1950,0.00,0.00,3147.00,1311.57,0.00,4458.57,1876.00,0.00,0.00,1876.00,0.00,3583.00,0.00,0.00,,1568.10,0.00,5151.10,0.00,2633.62,3074.34,0.00,1875.00,0.00,7582.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1012.56,0.00,0.00,0.00,1012.56
  1951,0.00,0.00,3205.00,1351.94,0.00,4556.94,1889.00,0.00,0.00,1889.00,0.00,3656.00,0.00,0.00,,1643.90,0.00,5299.90,0.00,2687.58,3190.67,0.00,1906.00,0.00,7784.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1037.42,0.00,0.00,0.00,1037.42
  1952,0.00,0.00,3272.00,1395.20,715.90,5383.10,1932.00,0.00,1110.50,3042.50,0.00,3739.00,0.00,0.00,1270.00,1655.70,0.00,6664.70,4371.00,2751.20,3271.20,0.00,1943.00,0.00,12336.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1064.69,161.38,0.00,0.00,1226.07
  1953,0.00,0.00,3343.00,1426.78,0.00,4769.78,2039.00,0.00,1189.70,3228.70,0.00,3817.00,0.00,0.00,,1695.30,0.00,5512.30,0.00,2807.00,3349.70,0.00,1976.00,0.00,8132.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1099.59,0.00,151.05,0.00,1250.64
  1954,310.40,285.00,3725.00,1478.60,645.00,6444.00,1959.50,1176.70,1276.10,4412.30,662.70,4226.70,2359.00,3176.00,1368.30,1729.70,5051.70,18574.10,4602.60,2865.39,3429.60,3390.00,2018.00,0.00,16305.59,0.00,6448.10,1557.10,1801.80,0.00,9807.00,1666.40,1338.80,176.80,0.00,514.50,3696.50
  1955,321.00,286.30,4023.00,1518.70,822.10,6971.10,2230.50,1210.10,1335.90,4776.50,623.10,4313.70,2428.40,3221.40,1378.20,1770.40,5201.10,18936.30,4682.30,2925.90,3462.80,3662.70,1855.90,0.00,16589.60,0.00,6876.90,1595.40,1814.70,127.40,10414.40,1711.80,1359.20,182.90,0.00,523.20,3777.10
  1956,383.80,302.60,4070.20,1562.60,870.90,7190.10,2326.20,1231.50,1423.90,4981.60,634.90,4395.80,2444.90,3261.60,1413.20,1809.00,5244.00,19203.40,4760.40,2979.30,3527.10,3704.70,1891.40,0.00,16862.90,0.00,7051.30,1636.10,1855.10,127.40,10669.90,1765.90,1416.40,199.90,0.00,538.20,3920.40
  1957,401.20,322.50,4149.90,1595.70,920.30,7389.60,2409.50,1255.10,1485.50,5150.10,689.70,4523.40,2528.30,3356.00,1465.30,1860.40,5402.90,19826.00,4866.90,3078.40,3622.20,3796.30,1939.50,0.00,17303.30,0.00,7215.70,1688.90,1909.80,127.40,10941.80,1812.90,1461.10,204.70,0.00,563.80,4042.50
  1958,635.50,0.00,4338.50,1627.50,970.70,7572.20,2459.10,1287.90,1570.70,5317.70,999.60,4284.20,2588.50,3426.70,1499.40,1921.90,5451.80,20172.10,4969.90,3167.50,3692.70,3906.90,1979.60,0.00,17716.60,0.00,7296.90,1718.00,1927.50,127.40,11069.80,1822.70,1315.60,225.00,193.70,588.90,4145.90
  1959,684.10,0.00,4429.30,1675.60,1047.00,7836.00,2515.80,1320.60,1689.00,5525.40,1028.40,4315.50,2623.30,3445.50,1566.20,1985.00,5402.50,20366.40,5040.00,3248.30,3711.90,3968.00,1993.60,0.00,17961.80,0.00,7372.30,1752.00,1921.40,112.90,11158.60,1890.50,1335.60,260.00,209.00,663.40,4358.50
  1960,732.00,0.00,4429.10,1712.00,1175.20,8048.30,2566.40,1404.70,1815.40,5786.50,1050.60,4272.60,2650.60,3085.60,1594.70,2018.80,5219.10,19892.00,4846.30,3168.00,3589.40,3995.10,1955.30,0.00,17554.10,0.00,6854.00,1665.30,1907.60,112.90,10539.80,1954.20,1262.50,248.60,216.30,704.70,4386.30
  1961,721.00,0.00,4403.50,1709.90,1140.80,7975.20,2514.90,1414.30,1897.10,5826.30,1059.00,4244.10,2632.20,2987.70,1597.80,2022.70,5265.40,19808.90,4803.20,3182.96,3508.00,4035.70,1939.60,0.00,17469.46,0.00,6467.30,1628.60,1899.40,112.90,10108.20,1968.30,1210.80,211.40,203.10,717.40,4311.00
  1962,723.60,0.00,4496.00,1745.30,1171.80,8136.70,2549.00,1476.40,1893.50,5918.90,1057.90,4333.74,2706.50,3133.20,1639.70,2058.50,5425.70,20355.24,4940.20,3273.93,3600.30,4134.90,1990.20,0.00,17939.53,0.00,6485.60,1664.30,1963.70,121.30,10234.90,2007.80,1240.00,205.00,198.90,698.60,4350.30
  1963,747.40,0.00,4593.90,1215.40,1790.10,8346.80,2653.10,1537.10,1972.00,6162.20,1073.60,4441.11,2800.50,3232.30,2100.70,1678.40,5585.40,20912.01,5036.30,3350.09,3715.20,4247.30,2066.10,0.00,18414.99,0.00,6695.80,1703.60,2021.10,121.30,10541.80,2056.00,1249.20,209.70,206.70,712.80,4434.40
  1964,765.40,0.00,4625.70,1824.37,1253.70,8469.17,2734.20,1595.10,2053.30,6382.60,1086.20,4511.76,2874.60,3181.20,1703.50,2143.60,5605.70,21106.56,5099.30,3418.01,3785.10,4347.50,2122.20,0.00,18772.11,0.00,6898.30,1752.00,2088.40,125.10,10863.80,2099.90,1290.00,219.50,214.90,744.20,4568.50
  1965,776.30,0.00,4723.70,1871.56,1296.40,8667.96,2808.30,1639.10,2133.90,6581.30,1093.80,4623.74,2957.30,3285.60,1759.80,2209.50,5710.70,21640.44,5239.90,3504.54,3901.50,4231.30,2444.70,0.00,19321.94,0.00,7137.00,1820.70,2160.40,135.70,11253.80,2144.30,1345.40,230.50,226.80,789.10,4736.10
