Year,Beijing_Output,Tianjin_Output,Hebei_Output,Shanxi_Output,InnerMongolia_Output,Liaoning_Output,Jilin_Output,Heilongjiang_Output,Shanghai_Output,Jiangsu_Output,Zhejiang_Output,Anhui_Output,Fujian_Output,Jiangxi_Enterprise,Jiangxi_Output,Shandong_Output,Henan_Output,Hubei_Output,Hunan_Output,Guangdong_Output,Guangxi_Output,Hainan_Output,Chongqing_Output,Sichuan_Output,Guizhou_Output,Yunnan_Output,Tibet_Output,Shaanxi_Output,Gansu_Output,Qinghai_Output,Ningxia_Output,Xinjiang_Output,National_Output_Total,Beijing_Output_Percentage,Shanghai_Output_Percentage,Xinjiang_Output_Percentage,Chongqing_Output_Percentage
1949,1.47,7.29,6.59,3.73,0,11.9,3.54,7.53,0,15.89,5.8,4.84,0,3238,2.64,9.15,2.98,0,3.18,9.89,0,0,6.04,0,2.06,1.95,0,2.86,1.27,0.19,0.13,0.98,3349.9,0.043881906922595,0,0.029254604615063,0.180303889668348
1950,3.07,11.6,8.97,5.47,0,23.5,5.87,11.08,0,19,5.13,5.46,2.45,3315,4.91,13.07,4.33,0,4.15,0,2.31,0,6.85,0,2.18,2.34,0,3.28,1.47,0.2,0.14,1.24,3463.07,0.088649666336517,0,0.035806379888365,0.197801372770403
1951,5.99,17.32,11.78,7.31,0,31.4,7.18,12.6,0,22.55,7.46,6.5,3.2,4114,6,16.27,6.25,0,5.82,0,3,0,9.58,0,2.66,3.01,0,3.83,1.95,0.24,0.17,1.63,4307.7,0.139053323119066,0,0.037839218144253,0.222392460013464
1952,7.19,18.54,16.56,4.57,1.6,44.2,10.48,17.88,66.6,25.53,8.24,7.86,4.2,4225,6.97,20.08,9.98,9.99,2.7,19.85,4.05,0.42,10.9,7.91,3.04,3.81,0,4.95,2.35,0.27,0.2,2.2,4568.12,0.157395164750488,1.45793017696558,0.04815985569556,0.238610194128
1953,10.28,26.21,18.17,13.34,2.55,58.7,13.28,25.1,91.5,29.81,11.71,8.76,5.43,4138,7.86,25.41,11.9,13.6,10.1,0,5.42,0,14.88,0,3.67,6.03,0,6.63,2.77,0.35,0.26,2.96,4564.68,0.22520746251654,2.0045216751229,0.064845728506708,0.325981229790478
1954,11.86,29.43,22.04,17.94,3.77,65.6,15.11,28.23,96.37,31.66,12.97,9.8,6.12,5329,8.36,29.35,13.65,14.69,11.94,0,6.63,0,19.02,0,4.13,7.6,0,8.51,3.44,0.47,0.32,3.43,5811.44,0.204080227964153,1.65828090800215,0.059021516181876,0.327285492063929
1955,13.19,30.09,22.96,21.69,4.41,71.8,13.89,26.87,91.42,32.82,12.57,12.4,6.35,5092,8.85,30.1,14.49,16.26,12.11,0,7.66,0,21.59,0,4.56,8.66,0,9.37,4.07,0.71,0.37,4.06,5595.32,0.235732719487,1.63386544469307,0.072560639963398,0.385858181480237
1956,18.19,35.68,24.48,26.56,6.05,101.3,16.93,31.33,113.92,38.6,16.35,15.4,7.32,5584,10.62,39.64,16.11,20.66,14.65,0,8.59,0,27.47,0,5.38,9.64,0,11.23,4.87,1.16,0.36,4.03,6210.52,0.292890128362842,1.83430695014266,0.0648898964982,0.442314009132891
1957,19.93,38.57,25.86,13.07,6.3,117.1,20.8,35.03,118.82,41.01,20.88,31.8,8.57,5853,11.7,43.31,16.63,24.31,18.19,37.92,9.2,1.33,31.08,21.57,6.05,11.19,0,11.34,5.72,1.27,0.46,4.75,6606.76,0.301660723259207,1.79846097027893,0.071896057976981,0.470427259352542
1958,42.8,61.94,39.63,50.75,12.03,163.7,30.88,61.81,176.44,75.22,38.25,49.33,12.94,10753,18.96,69.57,33.17,34.93,32.41,0,12.15,0,44.64,0,9.42,17.64,0,19.9,9.22,1.78,0.92,7.1,11880.53,0.360253288363398,1.48511892987939,0.059761643630377,0.375740812909862
1959,65.37,85.15,63.84,73.61,18.78,212.3,41.84,89.68,254.68,96,50.33,56.62,19.56,11733,24.84,92.98,50.16,49.57,42.63,0,17.43,0,61.96,0,13.42,24.45,0.01,29.49,15.6,4.96,1.79,15.99,13306.04,0.491280651493607,1.91401799483543,0.120170990016564,0.465653192084196
1960,86.85,93.42,74.73,41.95,28.57,258.5,57.33,107.33,298.97,100.32,54.33,28.24,25.01,12425,28.79,97.91,58.41,59.92,45.42,0,19.49,0,26.62,27.45,13.95,27.77,0.04,36.83,17.92,6.57,2.38,20.17,14170.19,0.612906390104861,2.10985173805009,0.142341069526944,0.187859160674628
1961,51.23,51.54,42.09,50.69,15.93,111.6,32.71,62.18,187.43,62.5,37.56,20.01,13.77,12367,19.06,55.04,31.2,33.55,28.56,0,10.53,0,34.94,0,8.46,15.7,0.45,21.19,7.98,3.17,2.05,15.59,13393.71,0.38249297618061,1.39938822029147,0.116397921113717,0.260868721213166
1962,39.09,45.39,33.42,43.64,14.26,107.4,30.05,49.69,151.98,53.36,33.62,20.13,11.23,10873,16.95,45.7,23.93,34.83,26.42,50.57,9.53,1.33,26.62,21.48,7.12,14.46,0.43,18.14,10.27,1.91,1.53,12.19,11829.67,0.330440325047106,1.28473575340648,0.103045985221904,0.225027409893936
